text
"COVID-19; Here are the latest updates as of 3pm, 26th February 2020 https://t.co/56nerSYZPS Feb 26, 2020"
"Status terkini COVID-19 setakat 26 Jun 2020 Jumlah discaj baru: 23 Jumlah kumulatif discaj: 8294 (96.4%) Jumlah kes baru; 6 Jumlah kumulatif: 8606 Jumlah kes aktif: 191 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/6madESmjfT Jun 26, 2020"
"Status terkini COVID-19 setakat 27 Jun 2020 Jumlah discaj baru: 14 Jumlah kumulatif discaj: 8308 (96.4%) Jumlah kes baru; 10 Jumlah kumulatif: 8616 Jumlah kes aktif: 187 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/DvV4sD3ZDw Jun 27, 2020"
"Status terkini COVID-19 setakat 29 Jun 2020 Jumlah discaj baru: 16 Jumlah kumulatif discaj: 8334 (96.5%) Jumlah kes baru; 3 Jumlah kumulatif: 8637 Jumlah kes aktif: 182 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 4 Pesakit intubated: 1 https://t.co/Gl1zRT8lrj Jun 29, 2020"
"Status terkini COVID-19 setakat 30 Jun 2020 Jumlah discaj baru: 20 Jumlah kumulatif discaj: 8354 (96.7%) Jumlah kes baru; 2 Jumlah kumulatif: 8639 Jumlah kes aktif: 164 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 4 Pesakit intubated: 1 https://t.co/vyoQ5Ao2An Jun 30, 2020"
"Covid-19: No local transmision today and only ONE imported case reported. It’s the nation’s collective effort. All of us coming together as one making the impossible possible. Thank you all https://t.co/Ot0K8a0aW9 Jul 01, 2020"
"Status terkini COVID-19 setakat 1 Julai 2020 Jumlah discaj baru: 21 Jumlah kumulatif discaj: 8375 (96.9%) Jumlah kes baru; 1 Jumlah kumulatif: 8640 Jumlah kes aktif: 144 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 4 Pesakit intubated: 2 https://t.co/Mpc7a7MoBJ Jul 01, 2020"
"Status terkini COVID-19 setakat 2 Julai 2020 Jumlah discaj baru: 62 Jumlah kumulatif discaj: 8473 (97.6%) Jumlah kes baru; 3 Jumlah kumulatif: 8643 Jumlah kes aktif: 85 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/PyeAKOu7LB Jul 02, 2020"
"Status terkini COVID-19 setakat 3 Julai 2020 Jumlah discaj baru: 9 Jumlah kumulatif discaj: 8446 (97.7%) Jumlah kes baru; 5 Jumlah kumulatif: 8648 Jumlah kes aktif: 81 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/TKBFNglNky Jul 03, 2020"
"Status terkini COVID-19 setakat 5 Julai 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8465 (97.7%) Jumlah kes baru; 5 Jumlah kumulatif: 8663 Jumlah kes aktif: 77 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/McOKELbs80 Jul 05, 2020"
"Status terkini COVID-19 setakat 6 Julai 2020 Jumlah discaj baru: 11 Jumlah kumulatif discaj: 8476 (97.7%) Jumlah kes baru; 5 Jumlah kumulatif: 8668 Jumlah kes aktif: 71 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/ucMgHcP4Qj Jul 06, 2020"
"Status terkini COVID-19 setakat 7 Julai 2020 Jumlah discaj baru: 5 Jumlah kumulatif discaj: 8481 (97.8%) Jumlah kes baru; 6 Jumlah kumulatif: 8674 Jumlah kes aktif: 72 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/otniaR7MUd Jul 07, 2020"
"Status terkini COVID-19 setakat 8 Julai 2020 Jumlah discaj baru: 5 Jumlah kumulatif discaj: 8487 (97.8%) Jumlah kes baru; 4 Jumlah kumulatif: 8677 Jumlah kes aktif: 70 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/GMgZ9kJGuH Jul 08, 2020"
"Status terkini COVID-19 setakat 9 Julai 2020 Jumlah discaj baru: 13 Jumlah kumulatif discaj: 8499 (97.8%) Jumlah kes baru; 6 Jumlah kumulatif: 8683 Jumlah kes aktif: 63 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/COlA7D88xQ Jul 09, 2020"
"Status terkini COVID-19 setakat 10 Julai 2020 Jumlah discaj baru: 12 Jumlah kumulatif discaj: 8511 (97.9%) Jumlah kes baru; 13 Jumlah kumulatif: 8696 Jumlah kes aktif: 64 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 2 https://t.co/XuC361nurE Jul 10, 2020"
"Status terkini COVID-19 setakat 11 Julai 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8515 (97.8%) Jumlah kes baru; 8 Jumlah kumulatif: 8704 Jumlah kes aktif: 67 Jumlah kematian: 1 Jumlah kumulatif kematian: 122 (1.4%) Jumlah kes di ICU: 3 Pesakit intubated: 2 https://t.co/MgAW5OdDrt Jul 11, 2020"
"Status terkini COVID-19 setakat 12 Julai 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8519 (97.7%) Jumlah kes baru; 14 Jumlah kumulatif: 8718 Jumlah kes aktif: 77 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 3 Pesakit intubated: 2 https://t.co/NdUsoncgDm Jul 12, 2020"
"Status terkini COVID-19 setakat 13 Julai 2020 Jumlah discaj baru: 1 Jumlah kumulatif discaj: 8520 (97.6%) Jumlah kes baru; 7 Jumlah kumulatif: 8725 Jumlah kes aktif: 83 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 4 Pesakit intubated: 3 https://t.co/SBGaR17Uu3 Jul 13, 2020"
"Status terkini COVID-19 setakat 14 Julai 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8524 (97.6%) Jumlah kes baru; 4 Jumlah kumulatif: 8729 Jumlah kes aktif: 83 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 6 Pesakit intubated: 2 https://t.co/Qq6G9K84Sk Jul 14, 2020"
"Status terkini COVID-19 setakat 15 Julai 2020 Jumlah discaj baru: 2 Jumlah kumulatif discaj: 8526 (97.6%) Jumlah kes baru; 5 Jumlah kumulatif: 8734 Jumlah kes aktif: 86 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 5 Pesakit intubated: 1 https://t.co/h0XjBhnKWt Jul 15, 2020"
"Status terkini COVID-19 setakat 16 Julai 2020 Jumlah discaj baru: 22 Jumlah kumulatif discaj: 8538 (97.7%) Jumlah kes baru; 3 Jumlah kumulatif: 8737 Jumlah kes aktif: 77 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 3 Pesakit intubated: 1 https://t.co/cH2Xoflpre Jul 16, 2020"
"Status terkini COVID-19 setakat 17 Julai 2020 Jumlah discaj baru: 3 Jumlah kumulatif discaj: 8541 (97.6%) Jumlah kes baru; 18 Jumlah kumulatif: 8755 Jumlah kes aktif: 92 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 3 Pesakit intubated: 0 https://t.co/xSGZp5t5wP Jul 17, 2020"
"Status terkini COVID-19 setakat 18 Julai 2020 Jumlah discaj baru: 5 Jumlah kumulatif discaj: 8546 (97.5%) Jumlah kes baru; 9 Jumlah kumulatif: 8764 Jumlah kes aktif: 96 Jumlah kematian: 0 Jumlah kumulatif kematian: 122 (1.39%) Jumlah kes di ICU: 1 Pesakit intubated: 0 https://t.co/j5oGU44hXL Jul 18, 2020"
"Status terkini COVID-19 setakat 19 Julai 2020 Jumlah discaj baru: 7 Jumlah kumulatif discaj: 8553 (97.4%) Jumlah kes baru; 15 Jumlah kumulatif: 8779 Jumlah kes aktif: 103 Jumlah kematian: 1 Jumlah kumulatif kematian: 123 (1.4%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/pvoNIxA417 Jul 19, 2020"
"Status terkini COVID-19 setakat 20 Julai 2020 Jumlah discaj baru: 2 Jumlah kumulatif discaj: 8555 (97.2%) Jumlah kes baru; 21 Jumlah kumulatif: 8800 Jumlah kes aktif: 122 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.4%) Jumlah kes di ICU: 3 Pesakit intubated: 1 https://t.co/M0qfaig5C4 Jul 20, 2020"
"Status terkini COVID-19 setakat 20 Julai 2020 Jumlah discaj baru: 7 Jumlah kumulatif discaj: 8562 (97.1%) Jumlah kes baru; 15 Jumlah kumulatif: 8815 Jumlah kes aktif: 130 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.4%) Jumlah kes di ICU: 4 Pesakit intubated: 1 https://t.co/JxSD4ya6Ji Jul 21, 2020"
"Status terkini COVID-19 setakat 22 Julai 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8566 (96.9%) Jumlah kes baru; 16 Jumlah kumulatif: 8831 Jumlah kes aktif: 142 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.39%) Jumlah kes di ICU: 5 Pesakit intubated: 1 https://t.co/QfsNvCVzLn Jul 22, 2020"
"Status terkini COVID-19 setakat 23 Julai 2020 Jumlah discaj baru: 8 Jumlah kumulatif discaj: 8574 (97.0%) Jumlah kes baru; 9 Jumlah kumulatif: 8840 Jumlah kes aktif: 143 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.39%) Jumlah kes di ICU: 5 Pesakit intubated: 2 https://t.co/WFVBBPMnTX Jul 23, 2020"
"Status terkini COVID-19 setakat 24 Julai 2020 Jumlah discaj baru: 3 Jumlah kumulatif discaj: 8577 (96.8%) Jumlah kes baru; 21 Jumlah kumulatif: 8861 Jumlah kes aktif: 161 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.39%) Jumlah kes di ICU: 5 Pesakit intubated: 2 https://t.co/8iK3hC6CZ7 Jul 24, 2020"
"Status terkini COVID-19 setakat 25 Julai 2020 Jumlah discaj baru: 17 Jumlah kumulatif discaj: 8594 (96.7%) Jumlah kes baru; 23 Jumlah kumulatif: 8884 Jumlah kes aktif: 167 Jumlah kematian: 0 Jumlah kumulatif kematian: 123 (1.38%) Jumlah kes di ICU: 3 Pesakit intubated: 2 https://t.co/g5tB6muXeR Jul 25, 2020"
"Status terkini COVID-19 setakat 26 Julai 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 8600 (96.7%) Jumlah kes baru; 13 Jumlah kumulatif: 8897 Jumlah kes aktif: 173 Jumlah kematian: 1 Jumlah kumulatif kematian: 124 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/YEb30cgSjb Jul 26, 2020"
"Status terkini COVID-19 setakat 26 Julai 2020, 12 tengah hari. 2 kes masih di rawat di ICU: - 1 Hospital Bintulu Sarawak - 1 Hospital Queen Elizabeth Sabah ( 1 kes warganegara Malaysia & 1 kes warga Indonesia) 1 kes warganegara memerlukan https://t.co/DGaAw989WP Jul 26, 2020"
"Status terkini COVID-19 setakat 27 Julai 2020 Jumlah discaj baru: 1 Jumlah kumulatif discaj: 8601 (96.6%) Jumlah kes baru; 7 Jumlah kumulatif:8904 Jumlah kes aktif: 179 (2.01%) Jumlah kematian: 0 Jumlah kumulatif kematian: 124 (1.39%) Jumlah kes di ICU: 0 Pesakit intubated: 0 https://t.co/xFjAMaczW1 Jul 27, 2020"
"Status terkini COVID-19 setakat 28 Julai 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 8607 (96.2%) Jumlah kes baru; 39 Jumlah kumulatif: 8943 Jumlah kes aktif: 212 Jumlah kematian: 0 Jumlah kumulatif kematian: 124 (1.39%) Jumlah kes di ICU: 1 Pesakit intubated: 1 https://t.co/OdOy2LG1M3 Jul 28, 2020"
"Status terkini COVID-19 setakat 29 Julai 2020 Jumlah discaj baru: 5 Jumlah kumulatif discaj: 8612 (96.2%) Jumlah kes baru; 13 Jumlah kumulatif: 8956 Jumlah kes aktif: 220 Jumlah kematian: 0 Jumlah kumulatif kematian: 124 (1.38%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/P89ujAfs4T Jul 29, 2020"
"Status terkini COVID-19 setakat 30 Julai 2020 Jumlah discaj baru: 5 Jumlah kumulatif discaj: 8617 (96.13%) Jumlah kes baru; 8 Jumlah kumulatif: 8964 Jumlah kes aktif: 223 Jumlah kematian: 0 Jumlah kumulatif kematian: 124 (1.38%) Jumlah kes di ICU: 3 Pesakit intubated: 1 https://t.co/LU3ZUk2Sqx Jul 30, 2020"
"Status terkini COVID-19 setakat 31 Julai 2020 Jumlah discaj baru: 27 Jumlah kumulatif discaj: 8644 (96.3%) Jumlah kes baru; 12 Jumlah kumulatif: 8976 Jumlah kes aktif: 207 Jumlah kematian: 1 Jumlah kumulatif kematian: 125 (1.39%) Jumlah kes di ICU: 3 Pesakit intubated: 1 https://t.co/B3nqGKwCtB Jul 31, 2020"
"Status terkini COVID-19 setakat 1 August 2020 Jumlah discaj baru: 3 Jumlah kumulatif discaj: 8647 (96.24%) Jumlah kes baru; 9 Jumlah kumulatif: 8985 Jumlah kes aktif: 213 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/9hNc0sCgqK Aug 01, 2020"
"Status terkini COVID-19 setakat 2 August 2020 Jumlah discaj baru: 17 Jumlah kumulatif discaj: 8664 (96.28%) Jumlah kes baru; 14 Jumlah kumulatif: 8999 Jumlah kes aktif: 210 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.39%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/2m5yPCLyAP Aug 02, 2020"
"Status terkini COVID-19 setakat 4 August 2020 Jumlah discaj baru: 16 Jumlah kumulatif discaj: 8684 (96.47%) Jumlah kes baru; 1 Jumlah kumulatif: 9002 Jumlah kes aktif: 193 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.39%) Jumlah kes di ICU: 0 Pesakit intubated: 0 https://t.co/HCfuHMO0NH Aug 04, 2020"
"Status terkini COVID-19 setakat 5 August 2020 Jumlah discaj baru: 18 Jumlah kumulatif discaj: 8702 (96.4%) Jumlah kes baru; 21 Jumlah kumulatif: 9023 Jumlah kes aktif: 196 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.385%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/4pVj00T4dr Aug 05, 2020"
"Status terkini COVID-19 setakat 6 August 2020 Jumlah discaj baru: 11 Jumlah kumulatif discaj: 8713 (96.4%) Jumlah kes baru; 15 Jumlah kumulatif: 9038 Jumlah kes aktif: 200 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.385%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/99yW0dCz0V Aug 06, 2020"
"Status terkini COVID-19 setakat 7 August 2020 Jumlah discaj baru: 15 Jumlah kumulatif discaj: 8728 (96.3%) Jumlah kes baru; 25 Jumlah kumulatif: 9063 Jumlah kes aktif: 210 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.38%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/Kv5LbiDpql Aug 07, 2020"
"Status terkini COVID-19 setakat 8 August 2020 Jumlah discaj baru: 47 Jumlah kumulatif discaj: 8775 (96.8%) Jumlah kes baru; 7 Jumlah kumulatif: 9080 Jumlah kes aktif: 170 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.38%) Jumlah kes di ICU: 2 Pesakit intubated: 1 https://t.co/IL7ZcHWn2l Aug 08, 2020"
"Status terkini COVID-19 setakat 9 August 2020 Jumlah discaj baru: 9 Jumlah kumulatif discaj: 8784 (96.7%) Jumlah kes baru; 13 Jumlah kumulatif: 9083 Jumlah kes aktif: 174 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.38%) Jumlah kes di ICU: 1 Pesakit intubated: 0 https://t.co/G4sQzgx1zE Aug 09, 2020"
"Status terkini COVID-19 setakat 10 August 2020 Jumlah discaj baru: 19 Jumlah kumulatif discaj: 8303 (96.8%) Jumlah kes baru; 11 Jumlah kumulatif: 9094 Jumlah kes aktif: 166 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.37%) Jumlah kes di ICU: 1 Pesakit intubated: 0 https://t.co/DFEprAvhkZ Aug 10, 2020"
"Status terkini COVID-19 setakat 11 August 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 8809 (96.8%) Jumlah kes baru; 9 Jumlah kumulatif: 9103 Jumlah kes aktif: 169 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.37%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/0LuoCfWjkp Aug 11, 2020"
"Status terkini COVID-19 setakat 12 Ogos 2020 Jumlah discaj baru: 8 Jumlah kumulatif discaj: 8817 (96.7%) Jumlah kes baru; 11 Jumlah kumulatif: 9114 Jumlah kes aktif: 172 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.37%) Jumlah kes di ICU: 1 Pesakit intubated: 0 https://t.co/6oWBwT9rGD Aug 12, 2020"
"RT @DGHisham: Status terkini COVID-19 setakat 12 Ogos 2020 Jumlah discaj baru: 8 Jumlah kumulatif discaj: 8817 (96.7%) Jumlah kes baru; 1… Aug 13, 2020"
"Status terkini COVID-19 setakat 13 Ogos 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8821 (96.6%) Jumlah kes baru; 15 Jumlah kumulatif: 9129 Jumlah kes aktif: 183 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.37%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/cqmi8zYoBG Aug 13, 2020"
"Status terkini COVID-19 setakat 14 Ogos 2020 Jumlah discaj baru: 7 Jumlah kumulatif discaj: 8828 (96.5%) Jumlah kes baru; 20 Jumlah kumulatif: 9149 Jumlah kes aktif: 196 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.37%) Jumlah kes di ICU: 4 Pesakit intubated: 1 https://t.co/iKbveimzVV Aug 14, 2020"
"Status terkini COVID-19 setakat 15 Ogos 2020 Jumlah discaj baru: 3 Jumlah kumulatif discaj: 8831 (96.3%) Jumlah kes baru; 26 Jumlah kumulatif: 9175 Jumlah kes aktif: 219 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.36%) Jumlah kes di ICU: 6 Pesakit intubated: 1 https://t.co/qIxNiD6u1s Aug 15, 2020"
"Status terkini COVID-19 setakat 16 Ogos 2020 Jumlah discaj baru: 28 Jumlah kumulatif discaj: 8859 (96.3%) Jumlah kes baru; 25 Jumlah kumulatif: 9200 Jumlah kes aktif: 216 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.36%) Jumlah kes di ICU: 7 Pesakit intubated: 2 https://t.co/1rqJv0AhZ4 Aug 16, 2020"
"Status terkini COVID-19 setakat 17 Ogos 2020 Jumlah discaj baru: 17 Jumlah kumulatif discaj: 8876 (96.4%) Jumlah kes baru; 12 Jumlah kumulatif: 9212 Jumlah kes aktif: 211 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.36%) Jumlah kes di ICU: 8 Pesakit intubated: 2 https://t.co/O8nVA6iKwM Aug 17, 2020"
"Status terkini COVID-19 setakat 18 Ogos 2020 Jumlah discaj baru: 26 Jumlah kumulatif discaj: 8902 (96.6%) Jumlah kes baru; 7 Jumlah kumulatif: 9219 Jumlah kes aktif: 192 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.36%) Jumlah kes di ICU: 8 Pesakit intubated: 2 https://t.co/n6fYMy5mjK Aug 18, 2020"
"Status terkini COVID-19 setakat 19 Ogos 2020 Jumlah discaj baru: 23 Jumlah kumulatif discaj: 8925 (96.6%) Jumlah kes baru; 16 Jumlah kumulatif: 9235 Jumlah kes aktif: 185 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 7 Pesakit intubated: 3 https://t.co/XXSCTPCBJA Aug 19, 2020"
"Status terkini COVID-19 setakat 20 Ogos 2020 Jumlah discaj baru: 7 Jumlah kumulatif discaj: 8932 (96.7%) Jumlah kes baru; 5 Jumlah kumulatif: 9240 Jumlah kes aktif: 183 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 7 Pesakit intubated: 4 https://t.co/9nejsNvhor Aug 20, 2020"
"Status terkini COVID-19 setakat 21 Ogos 2020 Jumlah discaj baru: 13 Jumlah kumulatif discaj: 8945 (96.7%) Jumlah kes baru; 9 Jumlah kumulatif: 9249 Jumlah kes aktif: 179 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 7 Pesakit intubated: 4 https://t.co/I247nzpu83 Aug 21, 2020"
"Status terkini COVID-19 setakat 22 Ogos 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 8949 (96.7%) Jumlah kes baru; 8 Jumlah kumulatif: 9257 Jumlah kes aktif: 183 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 8 Pesakit intubated: 4 https://t.co/Pry0cXsjPg Aug 22, 2020"
"Status terkini COVID-19 setakat 24 Ogos 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 8965 (96.7%) Jumlah kes baru; 7 Jumlah kumulatif: 9274 Jumlah kes aktif: 185 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 8 Pesakit intubated: 5 https://t.co/WJLd8ZTs8E Aug 24, 2020"
"Status terkini COVID-19 setakat 25 Ogos 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 8971 (96.6%) Jumlah kes baru; 11 Jumlah kumulatif: 9285 Jumlah kes aktif: 189 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 8 Pesakit intubated: 6 https://t.co/6kDs09HRd7 Aug 25, 2020"
"Status terkini COVID-19 setakat 26 Ogos 2020 Jumlah discaj baru: 7 Jumlah kumulatif discaj: 8978 (96.6%) Jumlah kes baru; 6 Jumlah kumulatif: 9291 Jumlah kes aktif: 188 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.35%) Jumlah kes di ICU: 9 Pesakit intubated: 6 https://t.co/04RAtMvvpd Aug 26, 2020"
"Status terkini COVID-19 setakat 27 Ogos 2020 Jumlah discaj baru: 16 Jumlah kumulatif discaj: 8994 (96.8%) Jumlah kes baru; 5 Jumlah kumulatif: 9296 Jumlah kes aktif: 177 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.34%) Jumlah kes di ICU: 8 Pesakit intubated: 6 https://t.co/I95EUGcbl3 Aug 27, 2020"
"Status terkini COVID-19 setakat 28 Ogos 2020 Jumlah discaj baru: 36 Jumlah kumulatif discaj: 9030 (97.0%) Jumlah kes baru; 10 Jumlah kumulatif: 9306 Jumlah kes aktif: 151 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.34%) Jumlah kes di ICU: 8 Pesakit intubated: 6 https://t.co/6k9oA8Ndqr Aug 28, 2020"
"Status terkini COVID-19 setakat 29 Ogos 2020 Jumlah discaj baru: 8 Jumlah kumulatif discaj: 9038 (97.0%) Jumlah kes baru; 11 Jumlah kumulatif: 9317 Jumlah kes aktif: 154 Jumlah kematian: 0 Jumlah kumulatif kematian: 125 (1.34%) Jumlah kes di ICU: 8 Pesakit intubated: 6 https://t.co/ygJCOiLeAE Aug 29, 2020"
"Status terkini COVID-19 setakat 30 Ogos 2020 Jumlah discaj baru: 10 Jumlah kumulatif discaj: 9048 (96.9%) Jumlah kes baru; 17 Jumlah kumulatif: 9334 Jumlah kes aktif: 160 Jumlah kematian: 1 Jumlah kumulatif kematian: 126 (1.35%) Jumlah kes di ICU: 7 Pesakit intubated: 5 https://t.co/JDmH8l9VE1 Aug 30, 2020"
"Status terkini COVID-19 setakat 31 Ogos 2020 Jumlah discaj baru: 6 Jumlah kumulatif discaj: 9054 (96.9%) Jumlah kes baru; 6 Jumlah kumulatif: 9340 Jumlah kes aktif: 159 Jumlah kematian: 1 Jumlah kumulatif kematian: 127 (1.36%) Jumlah kes di ICU: 6 Pesakit intubated: 4 https://t.co/2YMWSX8lED Aug 31, 2020"
"Status terkini COVID-19 setakat 1 September 2020 Jumlah discaj baru: 21 Jumlah kumulatif discaj: 9075 (97.0%) Jumlah kes baru; 14 Jumlah kumulatif: 9354 Jumlah kes aktif: 151 Jumlah kematian: 1 Jumlah kumulatif kematian: 128 (1.37%) Jumlah kes di ICU: 5 Pesakit intubated: 3 https://t.co/GRu0m1hPaQ Sep 01, 2020"
"Status terkini COVID-19 setakat 2 September 2020 Jumlah discaj baru: 4 Jumlah kumulatif discaj: 9079 (97.0%) Jumlah kes baru; 6 Jumlah kumulatif: 9360 Jumlah kes aktif: 153 Jumlah kematian: 0 Jumlah kumulatif kematian: 128 (1.37%) Jumlah kes di ICU: 4 Pesakit intubated: 3 https://t.co/ed6L9eGBPi Sep 02, 2020"
"COVID-19: Kes import membimbangkan, kawalan sempadan diperketat sementara https://t.co/pCvikU4u25 Sep 04, 2020"
"Status terkini COVID-19 setakat 4 Sept 2020 Jumlah discaj baru: 9 Jumlah kumulatif discaj: 9092(96.9%) Jumlah kes baru;11 Jumlah kumulatif:9385 Jumlah kes aktif:165 Kes local :4 Kes import:7 Jumlah kematian: 0 Jumlah kumulatif kematian: 128 (1.36%) Kes di ICU: 4 intubated: 3 https://t.co/XB0I5KQoxF Sep 04, 2020"
"Terkini COVID-19, 5 Sept 2020 Jumlah discaj baru:21 Jumlah kumulatif discaj:9113 (97%) Jumlah kes baru;6 Jumlah kumulatif:9391 Jumlah kes aktif:150 Kes tempatan:2 (2 WN) Kes import:4 (2 WN, 2 BWN) Jumlah kematian:0 Jumlah kematian:128 (1.36%) Jumlah kes di ICU:5 intubated: 3 https://t.co/Fm66F4cXoc Sep 05, 2020"
"Status terkini COVID-19, 6 September 2020 Jumlah discaj baru:2 Jumlah kumulatif discaj:9115 (97%) Jumlah kes baru;6 Jumlah kumulatif:9397 Jumlah kes aktif:154 Kes tempatan:3 WN Kes import:3 BWN Jumlah kematian:0 Jumlah kumulatif:128 (1.36%) Jumlah kes di ICU: 6 intubated: 3 https://t.co/Ee5KmtCHr7 Sep 06, 2020"
"Terkini COVID-19, 7 Sept 2020 Jumlah discaj:9 Jumlah kumulatif discaj: 9124 (96.5%) Jumlah kes baru;62 Jumlah kumulatif:9459 Jumlah kes aktif:207 Kes local: 56(30WN, 26BWN) Kes import: 6(2WN, 4BWN) Jumlah kematian: 0 Jumlah kumulatif:128 (1.35%) Kes di ICU: 6, intubated 4 https://t.co/k4C9NzPuRt Sep 07, 2020"
